youthPolicy.rnum,youthPolicy.bizId,youthPolicy.polyBizSecd,youthPolicy.polyBizTy,youthPolicy.polyBizSjnm,youthPolicy.polyItcnCn,youthPolicy.sporCn,youthPolicy.sporScvl,youthPolicy.bizPrdCn,youthPolicy.prdRpttSecd,youthPolicy.rqutPrdCn,youthPolicy.ageInfo,youthPolicy.majrRqisCn,youthPolicy.empmSttsCn,youthPolicy.splzRlmRqisCn,youthPolicy.accrRqisCn,youthPolicy.prcpCn,youthPolicy.aditRscn,youthPolicy.prcpLmttTrgtCn,youthPolicy.rqutProcCn,youthPolicy.pstnPaprCn,youthPolicy.jdgnPresCn,youthPolicy.rqutUrla,youthPolicy.rfcSiteUrla1,youthPolicy.rfcSiteUrla2,youthPolicy.mngtMson,youthPolicy.mngtMrofCherCn,youthPolicy.cherCtpcCn,youthPolicy.cnsgNmor,youthPolicy.tintCherCn,youthPolicy.tintCherCtpcCn,youthPolicy.etct,youthPolicy.polyRlmCd
127,R2023070716045,전북,지자체,청년취업 지원사업,청년층 미취업자를 대상으로 중소기업 등의 수습기회를 제공함으로써 청년에게는 직장경력 형성 정규직으로의 취업가능성 제고와  중소기업 인력수급 원활화 등을 지원하는 청년층 고용촉진사업,1인당 월 50만원씩 12개월(수습 3개월 정규직 9개월),3,2023.01.01.~2023.12.31.,2001,연중 수시(사업량 소진 시 까지),만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,참가신청일 현재 미취업 상태 또는 채용기업에서 6개월 미만 근무자로 만 18세 이상 39세 이하의 주민등록상 주소지가 전라북도인 자,취업 후 6개월 12개월 24개월 경과 시 각 100만원(총300만원)씩 장려금 분할 지급,"1. 법령상 이수토록 되어 있는 현장실습 등에 참여중인 자
2. 이 사업의 청년취업에 참여하여 3개월 이상 보조금이 지원되고 청년이 원하여 약정이 중도 해지된 자 및 청년취업 근무만료자
3. 채용예정인 기업의 사업주와 직계비속 배우자 형제자매 관계에 있는 자 공공기관 지원사업 수행을 위해 채용된 자
4. 대한민국 국적을 보유하지 않은 외국인
5. 청년취업신청일 이전 3개월 이상 채용예정 기업에서 근무한자 및 허위 기타 부정한 방법으로 청년취업자로 채용되었던 자
6. 휴학생 재학생","임실군청 홈페이지 접속하여 신청 서류 양식 다운로드 및 증빙서류 확인구비서류 양식 작성 및 증빙서류 준비전북일자리종합센터 청년취업 사이트 온라인 접수 또는 임실군 경제교통과에 방문 신청상담 및 알선 기업에서 청년채용

채용결과 : 기업에서 개별 통보취업지원금 지급 : 기업 선 지급 지원금 후 신청","1. 신청서
2. 개인정보동의서 등",전북일자리종합센터 청년취업 사이트 온라인 접수 또는 임실군 경제교통과에 방문 신청,https://www.imsil.go.kr,-,-,임실군청 경제교통과 일자리창출팀,박진주,063-640-2454,참여 업체,- -,-,-,일자리
128,R2023070716043,전북,지자체,임실군 대학생 학자금 대출이자 지원사업,임실군 대학생들의 학업전념을 위하여 교육환경 조성과 교육비 부담 경감을 통한 취업활동에 전념할 수 있도록 지원,"1. 한국장학재단에서 2017년부터 대출받은 학자금의 2021년도 발생이자에 대하여 이자 지원
2. 지원종류 : 학자금(취업후 상환 일반상환) 생활비 지원 불가",-,2023. 5. ~ 2023. 12.,2004,2023. 5. 3~2023. 6 .4,만 99세 이하,제한없음,제한없음,제한없음,대학 재학,한국장학재단에서 학자금대출을 받은 대학생으로(대학원생 휴학생 졸업생 제외) 지원신청일로부터 2년 이상 직계존속(부모 친/외 조부모) 1명 또는 학생 본인이 임실군에 주민등록이 되어있는 사람,"1. 중도상환(전부 상환 완료된 경우)은 제외 타 지자체와 중복 지원 불가
2. 한국장학재단 대출원금(상환액)에서 이자발생액만큼 차감되는 방식으로 지원 
- 학생 개인계좌 입금 아님","1. 대학원생
2. 휴학생
3. 졸업생","1. 임실군청 홈페이지 접속하여 신청서류 다운로드 및 증빙서류 확인
2. 구비 서류 양식 작성 및 증빙서류 구비
3. 기한 내 임실군청 행정지원과 인재개발팀 서류제출","1. 신청서
2. 개인정보 활용동의서

3. 주민등록초본

4. 가족관계증명서

5. 재학증명서","1. 별도의 심사 및 발표 없음: 조건 충족시 지원
2. 대상자 선정 및 지급 시기: 2022년 8 12월
* 지급일 전까지 대출원금이 상환 완료된 경우 지원 불가",https://www.imsil.go.kr,https://www.imsil.go.kr/,-,"임실군청

 행정지원과 인재개발팀",이현지,063-640-2174,-,- -,-,한국장학재단 대출원금(상환액)에서 이자발생액 만큼 차감되는 방식으로 지원,교육
129,R2023070716030,전북,지자체,농업법인 청년일자리 사업,지역에서 청년 취업을 확대하고 청년의 지역정착 활성화를 위해 청년을 고용한 농업법인에 보조금을 지원,"농산물의 생산 유통 가공 마케팅 등을 수행할 만 39세 이하 미취업 청년을 신규 채용한 농업법인(농업회사법인 또는 영농조합법인)에 인건비 등 지원
- (청년) 1인당 월 20만원 지역정착비(주거비 교통비) 지원 총 10개월
- (업체) 1인당 월 180만원 인건비 지원 총 12개월",2,2023.01.01.~2023.12.31.,2001,수시(결원 발생시),만 18세 ~ 39세,제한없음,제한없음,제한없음,제한없음,"1. 사업개시일 기준 만 18~39세 청년 중 미취업자
2. 사업기간 동안 임실군 주민등록 유지
(단 청년 선발 과정에서 1차 공고 미달 시 재공고부터 해당 지자체의 65세 이상 인구비율에 따라 만 45세 이내 또는 해당 지자체 조례가 정한 청년의 연령 범위 내에서 해당 지자체장의 판단에 따라 예외적으로 인정)",-,직접 일자리사업 중복참여 및 반복참여자,임실군청 홈페이지 접속하여 신청 서류 양식 다운로드 및 증빙서류 확인구비서류 양식 작성 및 증빙서류 준비 임실군청 경제교통과 방문신청심사방법 : 1차 서류심사(군) 2차 면접심사(업체)채용결과 : 업체에서 개별 통보,"1. 청년일자리 사업 신청서
2. 개인정보 수집이용제공동의서
3. 주민등록초본
4. 고용보험 피보험자격 이력내역서",임실군청 경제교통과 기업일자리팀 방문,https://www.imsil.go.kr,-,-,임실군청 경제교통과 일자리창출팀,박진주,063-640-2454,참여 사업장,- -,-,"1. 신청서에 기재된 경력 자격사항 등은 증빙자료를 반드시 제출하여야 합니다.(증빙자료 없을 경우 불인정)
2. 제출된 서류상의 허위기재 또는 기재착오 및 누락 연락불능 구비서류 미제출 등으로 인한 불이익은 신청자 본인의 책임으로 합니다. 
3. 참여희망자는 자격요건 등이 적합한지 정확히 확인한 후 참여하시기 바라며 제출한 서류는 일체 반환하지 않습니다.
4. 기타 자세한 사항은 경제교통과 기업일자리팀으로 문의하여 주시기 바랍니다.",일자리
130,R2023070716027,전북,지자체,고창형 청년 일자리 지원사업,청년들의 공백기 없는 취업연계를 위한 직무경험 경험을 통한 지역정착 유도 및 외부 청년 유입,인건비(매월 205만원/인) 정착지원금(매월 10만원/인) 자기계발비(연 250만원/인) 명절특별지원금(연 40만원(2회 분할 지급)),모집공고별 상이,2023.03.01. ~ 2023.12.31.,2004,"1차 공고(5. 31. ~ 6. 14.)
2차 공고(6. 22. ~ 7. 10.)",만 18세 ~ 39세,제한없음,미취업자,중소기업,제한없음,고창군 주소지를 둔 법인 및 사회적기업 고창군 거주(또는 예정) 만18~39세 청년,해당 없음,"1. 모집일 기준 고용보험 가입자
2. 사업장의 대표(임원)의 배우자 및 직계존비속인 자 
3. 창업 사업장 대표가 본인의 이직 당시(1년 이내) 사업주와 동일하거나 밀접한 관련성이 있는 자
4. 사업자등록이 되어 있는 자
 (단 1년 이상 3년 미만 창업가로 연간 매출액 1억 5천만원 이하 가능 *입사 후 한달 이내 보유 사업자등록증 폐업 필수)
5. 채용일 기준 고등학교 또는 대학교에 재학중인 자
 (단 ▲ 고등학교 졸업예정자로서 마지막 학기 교육과정을 종료한 자 또는 교육과정을 취업으로 대체 가능한 자 ▲ 대학교 졸업예정자 또는 학점이수를 취업으로 대체 가능한 자 방송·통신·사이버대학·학점은행제·야간대학·대학원에 재학중인 자는 가능)
6. 신청서 정보제공동의서 등 신청 구비서류를 제출하지 않은 자
7. 기타 지병?건강쇠약 등으로 근로가 불가하다고 판단되는 자
8. 4대 사회보험의 가입이 불가한 자(기초생활 수급자 등 제외)",방문 및 우편 이메일 접수,신청서 등 공고문 참고,서류 및 면접심사,-,https://www.gochang.go.kr,https://www.gochang.go.kr/board/view.gochang?menuCd=DOM_000000102001001000&boardId=BBS_0000083&dataSid=511178,신활력경제정책관,임은지 주무관,063-560-2364,-,- -,-,-,일자리
131,R2023070716023,전북,지자체,전북형 청년취업 지원사업,청년취업 인건비 지원을 통한 청년층 고용확대 및 중소기업 인력난 해소,"(기업)1인당 월 70만원씩 최대 12개월 지원
 (청년)장기근속 시 2년간 300만원 지원(6개월 12개월 24개월 각각 100만원)",10명,2023.01.01. ~ 2023.12.31.,2004,2023.02.24 ~ 2023.03.17,만 18세 ~ 39세,제한없음,미취업자 단기근로자(채용기업에서 6개월 미만 근무자),제한없음,제한없음,"1. 기업: 고용보험 가입 상시근로자 3인 이상 관내 기업

2. 청년: 관내 거주 만18 ~ 39세 미취업 청년 및 채용기업에서 6개월 미만 근무자",해당 없음,다른 재정지원 일자리사업 중복참여자,방문 또는 메일 접수,1. 청년취업채용신청서 2. 청년취업운영계획서 3. 사업자등록증 4. 고용보험 가입자명부 5. 국세·지방세 완납증명 등,-,-,http://eminwon.sunchang.go.kr/emwp/gov/mogaha/ntis/web/ofr/action/OfrAction.do,https://www.sunchang.go.kr/,순창군청 경제교통과 일자리창출팀,양우영 주무관,063-650-1326,-,- -,-,해당사항 없음,일자리
132,R2023070716002,전북,지자체,직업교육훈련 교육비 지원,관내 구직자 맞춤형 취업지원 및 취업률 제고를 위한 다양한 분야의 직업교육훈련 지원,"취창업과 관련된 직업교육훈련 전 분야(단 요양보호사 사회복지 관련 온라인 교육 및 군 시행 교육과정 제외)
1. (국비 지원을 받는 경우) 교육관련 자격증 취득 시 1인당 100만원 인센티브 지급
(단 건설·건축 분야 펫미용 교육에 한함)
2 (그 외 경우) 자격증 취득 또는 출석률 80퍼센트 이상인 경우 1인당 1과목 최고 100만원 교육비 지원 자부담 50퍼센트(중·고등학생 최고 50만원 자부담 20퍼센트)",-,2023.01.01. ~ 예산소진시까지,2001,2023.01.12 ~ 예산 소진 시까지,만 99세 이하,제한없음,제한없음,제한없음,제한없음,"1. 일반인: 신청일 현재 순창군에 주소를 두고 거주하는 취창업 관련 교육을 희망하는 자
2. 중고등학생 : 신청일 현재 보호자와 학생이 순창군에 주소를 두고 거주하며 취창업 관련 교육을 희망하는 자", 만13세~18세 청소년들이 선호하는 수강과목(헤어미용 메이크업 네일아트 등)의 평균교육비를 감안하여 지원금액을 최대 50만원에서 100만원으로 상향했으며 1과목 수강 후 자격증 취득 등 증빙서류 제출시 연계 심화 과정 수강을 위하여 연간 지원과목을 2과목으로 확대,해당 없음,"1. 순창군 홈페이지에 접속하여 고시공고에서 직업교육훈련 교육비 신청서 등 양식 다운
2. 구비 서류 양식 작성 및 증빙서류 구비
3. 방문신청","일반인 : 수강신청서 개인정보 수집 및 이용동의서 주민등록초본 교육기관 사업자등록증
중고등학생 : 수강신청서 개인정보 수집 및 이용 동의서 재학증명서 주민등록등본 교육기관 사업자 등록증
*수강 신청 승인 후 수강등록증 제출 의무",개별통보,-,-,https://www.sunchang.go.kr/,순창군청 경제교통과 일자리창출팀,김성희 팀장,063-650-1313,-,- -,-,제외 과목 : 요양보호사 사회복지 관련 온라인 교육 및 군 시행 교육과정,일자리
133,R2023070715986,전북,지자체,청년취업지원사업,청년채용시 1인당 매월 70만원씩 12개월 지원,700000원*10명*12개월 지원,10명,2023.04.01. ~ 2023.12.31.,2004,2023. 1. ~ 2023. 2.,만 18세 ~ 39세,제한없음,미취업자 또는 단기근로자(6개월미만 근로자),제한없음,대학 졸업 (휴학생 재학생 제외),고창군 거주 만18~39세 청년,해당 없음,"1. 고용보험에 가입중인 자
2. 계약직 프리랜서 등 형태로 동일한 사업장에 재직중인 자
3. 세법에 따라 사업자 등록을 한 자",방문 및 우편접수,신청서 등,서류심사,-,-,http://www.1577-0365.or.kr/,신활력경제정책관,성다혜 주무관,063-560-2367,-,- -,-,-,일자리
134,R2023063015964,전남,지자체,특성화고 졸업생 선취업 후진학과정,지역기업에 취업한 특성화고 졸업생에게 대학진학 기회를 제공하여 고숙령 기술 취득 및 지역안착 지원,등록금 50프로 지원,169명,2023.03.02.~2024.02.28.,2005,수능 종료 후,제한없음,제한없음,제한없음,제한없음,고졸 예정,전국 고교생 중 선취업 후진학과정 학과 입학,-,-,자체 구비 서류 양식 작성 및 증빙서류 구비,해당사항 없음,해당사항 없음,-,https://www.jeonnam.go.kr/contentsView.do?menuId=brand0401000000&tab=4,https://www.jeonnam.go.kr/main.do?site=brand,일자리경제과,노정윤 주무관,061-286-2953,목포대 전남대 전남도립대,- -,-,해당사항 없음,일자리
135,R2023063015963,전남,지자체,산학협력취업패키지 과정,"대학 재학생에 대한 인력 수급 미스매치해소 및 지역정착 유도

- 전남 대상 대학 : 목포대학교 등 9개 대학 20개 과정 운영중",직업 교육,-,2023.03.02.~2024.02.28.,2001,"수시
2023년 2차: 5/19 ~ 6/8",제한없음,제한없음,제한없음,제한없음,대학 재학,도내 지정 대학교 재학생,-,-,자체 구비 서류 양식 작성 및 증빙서류 구비,해당사항 없음,해당사항 없음,대학 산학협력 취업패키지 사업단으로 문의,https://www.mokpo.go.kr/www/open_administration/city_news/notice?idx=506383&mode=view,https://www.jeonnam.go.kr/main.do?site=brand,일자리경제과,이동미 주무관,061-286-2931,-,- -,-,해당사항 없음,일자리
136,R2023063015962,전남,지자체,조기취업형계약학과 운영,"고교 졸업생을 대상으로 조기취업과 현장맞춤형 인력 양성을 위한 대학 진학 지원
- 전남 대상 대학 : 목포대학교 스마트에너지시스템학과 등 4개 학과 전남대여수캠퍼스 기계IT융합공학과 등 3개 학과",2~3학년 학생 등록금 50프로 지원,164명,2023.03.02.~2024.02.28.,2005,수능 종료 후,제한없음,제한없음,제한없음,제한없음,고졸 예정,전국 고교생 중 조기취업형 계약학과 입학,-,-,자체 구비 서류 양식 작성 및 증빙서류 구비,해당사항 없음,해당사항 없음,-,https://smartplant.jnu.ac.kr/sites/smartplant/index.do,https://earlyuniv.kr/,일자리경제과,노정윤 주무관,061-286-2953,목포대 전남대,- -,-,해당사항 없음,일자리
137,R2023063015961,전남,지자체,전남 청년 근속장려금 지원,중소기업에 정규직으로 취업한 청년들이 장기근속 할 수 있도록 보조금을 지원하여 정규직 일자리 취업촉진 및 대기업-중소기업 간 임금격차 완화,1인당 4년간 최대 2000만원 지원(청년 1500 기업 500),1000여명,2023.01.01.~2023.12.31.,2004,2023.02.23.~2023.03.09.,만 18세 ~ 39세,제한없음,재직자,중소기업,제한없음,"전라남도에 소재하고 만18~39세 이하의 1~4년차 청년 근로자가 근속하고 있는 고용보험 피보험자 수 5인 이상 300인 미만 기업
 ※ 정규직 : 신청일 현재 만 18세 이상 39세 이하의 청년","고용보험 피보험자수의 30%이내에서 최대 10명까지 지원
 * 영농조합 법인 영어조합 법인 농업회사 법인 지역ICT기업 벤처기업 산학협력취업패키지 과정 및 선취업 후진학 과정 참여기업의 경우는 고용보험 피보험자 수와 무관하며 비영리법인·단체도 고용보험 피보험자 수 5인 이상으로 고용보험법상 우선지원 대상기업 요건을 충족하는 경우 참여 가능.",고용보험 피보험자 수의 30프로 이내 기업당 최대 10명,"모집공고
해당 시군에 공모신청서 제출(기업)
심사 및 승인(시군)",공모신청서 기업평가서 사업자등록증 최근 2년간 재무제표 고용현황 확인자료 국세 및 지방세 납입증명서 기타 평가 증빙자료,"사업 수행 기관 심사 진행 (매월 25일 결과 발표)
포인트 지급(매월 1일) 사용 승인 신청(매월 25일까지) 승인 심사(매월 말일까지) 환급액 지급(다음달 20일)",-,https://aid.bizbot.kr/biz-page/69866?utm_source=bizaid&utm_medium=post&utm_campaign=content_to_bizpage,https://www.jeonnam.go.kr/J0203/boardView.do?seq=20380&menuId=jeonnam0203000000,일자리경제과,노정윤 주무관,061-286-2953,전라남도 22개 시군,- -,-,"지원 세부 내용
- 1년차 : 1명당 총 500만원 지원(청년 300 기업 200)
- 2년차 : 1명당 총 450만원 지원(청년 300 기업 150)
- 3년차 : 1명당 총 550만원 지원(청년 400 기업 150)
- 4년차 : 1명당 총 500만원 지원(청년)

유의사항
○ 참여기업은 다음과 같은 사유에 해당되는 경우 정규직 채용이 취소되거나 지원금을 지급받을 수 없음
 - 현재 근무하고 있는 자를 퇴직시키고 동일기업에 정규직으로 채용하는 경우
 - 허위 또는 부정한 방법으로 참여기업에 선정되었거나 근로계약을 체결하는 경우",일자리
